species,latitude,longitude,timestamp
Bobcat,38.0412902832,-122.7914886475,2009-08-16 18:45:00-07:00
Bobcat,37.8567390442,-121.7677993774,2009-10-31 17:24:00-07:00
Bobcat,38.0454368591,-122.8671875,2009-12-06 11:41:00-08:00
Southern Lion,-19.2850316986,23.5351441811,2009-07-26 07:27:00+02:00
Bobcat,37.0920066833,-121.4296035767,2010-02-18 10:38:00-08:00
Bobcat,34.5008926392,-120.0665359497,2011-05-06 17:31:37-07:00
Bobcat,37.8577232361,-122.53881073,2011-05-09 11:47:53-07:00
African Leopard,-19.4863421462,23.2485024156,2007-11-29 00:23:00+02:00
Southern Lion,-7.7476518348,34.9086511515,2007-11-05 23:32:00+03:00
Southern Lion,-3.0524630105,35.4663032254,2007-10-26 17:08:00+03:00
African Leopard,-3.9054067851,35.8892348645,2007-10-19 19:14:00+03:00
Caracal,-22.32733,21.61499,2007-12-02 13:04:00+02:00
Caracal,-22.32733,21.61499,2007-12-02 08:13:00+02:00
Lion,-22.4989530517,22.6106065403,2007-08-13 22:43:00+02:00
Southern Cheetah,-22.325873497,21.3063676533,2007-08-14 13:00:00+02:00
African Leopard,-22.3366464357,22.1649660647,2006-08-29 01:03:00+02:00
African Leopard,-22.4800585538,21.8545373291,2006-06-12 16:38:00+02:00
Southern Cheetah,-22.4967565446,21.8097028706,2006-06-12 16:19:00+02:00
Caracal,-21.3274368023,23.3390808105,2006-04-05 04:12:00+02:00
Lion,-21.3309192445,23.3798411058,2006-04-05 13:22:00+02:00
Caracal,-21.3274368023,23.3390808105,2006-04-06 02:52:00+02:00
Lion,-21.2182573924,23.3872728281,2006-04-02 15:35:00+02:00
Domestic Cat,37.6958351135,-122.193107605,2011-07-29 09:35:41-07:00
African Leopard,-22.211637287,21.5440942308,2005-08-14 16:48:00+02:00
Domestic Cat,39.959975,-80.470092,2011-04-21 10:41:00-04:00
Southern Lion,-1.294046391,36.8094813791,2011-09-13 16:23:00+03:00
Jaguar,-17.293397202,-56.7733499016,2009-11-10 18:12:00-03:00
Jaguar,10.2041951816,-83.488043602,2006-11-22 15:35:00-06:00
Bobcat,38.2470325,-122.1463411,2012-02-25 16:55:00-08:00
Domestic Cat,41.455143,-90.864184,2012-06-02 12:46:03-05:00
Bengal Tiger,26.1564642242,76.437500717,2012-03-31 07:14:00+05:30
Bengal Tiger,22.2864371375,80.5485314841,2012-03-22 04:17:00+05:30
Bengal Tiger,22.3124858847,80.5885973911,2012-03-20 02:38:00+05:30
Bengal Tiger,22.2723534674,80.5575738152,2012-03-22 11:34:00+05:30
Bengal Tiger,22.3724361975,80.4288821377,2012-03-23 11:49:00+05:30
Bengal Tiger,22.3696608665,80.5514244489,2012-03-20 07:47:00+05:30
Bengal Tiger,22.3778706401,80.506919034,2012-03-18 16:37:00+05:30
Bengal Tiger,22.3588672498,80.4996380754,2012-03-21 08:00:00+05:30
Bengal Tiger,26.1416121158,76.5790060971,2012-03-30 07:06:00+05:30
Bengal Tiger,22.2475605288,80.5297666993,2012-03-25 08:59:00+05:30
Bengal Tiger,26.0704558652,76.4357179057,2012-03-30 02:54:00+05:30
Domestic Cat,39.9515,-75.165,2010-11-13 16:28:00-05:00
North American Mountain Lion,25.3856891605,-80.566884817,2012-09-29 20:10:18-04:00
Bobcat,37.831565,-122.509924,2012-10-11 08:13:42-07:00
Bobcat,28.6475113,-80.7381821,2008-10-29 17:55:43-04:00
Bobcat,28.6475113,-80.7381821,2008-02-17 20:32:04-05:00
Bobcat,30.0569113,-84.2939758,2010-04-16 21:38:31-04:00
Bobcat,34.4407696968,-119.8506474495,2009-11-01 16:11:23-08:00
Southern Lion,-2.5898217378,34.7665177795,2010-10-06 17:12:13+03:00
Domestic Cat,38.44031,-98.627998,2012-12-19 12:37:08-06:00
Bobcat,37.848443,-122.549848,2013-02-01 12:28:45-08:00
Bobcat,43.630833,-72.52,2013-01-16 14:19:50-05:00
Bobcat,43.629666,-72.5205,2013-01-16 14:12:49-05:00
Bobcat,43.6337145918,-72.5278759003,2011-02-08 17:26:59-05:00
Bobcat,43.6343358019,-72.5305366516,2011-02-09 17:35:35-05:00
Bobcat,43.633590349,-72.5271892548,2011-02-09 10:17:28-05:00
Domestic Cat,45.7064971089,-122.7077480886,2013-02-20 17:25:57-08:00
Domestic Cat,45.6188517618,-122.7867483284,2013-02-20 23:48:51-08:00
Domestic Cat,-35.096114999,149.3654131187,2012-06-29 18:04:32+10:00
Mountain Lion,35.128297,-106.385414,2012-03-01 00:53:33-07:00
Jaguarundi,11.1071579653,-85.7316935062,2013-02-22 08:51:00-06:00
Bobcat,43.0276201719,-73.1725128287,2018-06-28 00:24:00-04:00
Bobcat,35.270826,-106.598319,2013-03-22 13:11:57-06:00
Bobcat,37.243135,-88.362785,2013-03-28 19:15:57-05:00
Domestic Cat,38.913944,-121.031311,2013-03-30 15:35:00-07:00
Mountain Lion,37.919039,-122.276496,2013-04-27 18:20:39-07:00
Bobcat,38.116681,-122.897202,2006-05-07 18:58:00-07:00
Bobcat,35.030488,-120.619433,2013-04-30 11:23:41-07:00
Sri Lankan Leopard,6.5946728394,81.5786587819,2004-12-25 18:16:27+06:00
Bobcat,33.184026,-115.596899,2013-05-04 06:37:33-07:00
Domestic Cat,33.871317,-118.196937,2013-05-26 12:16:22-07:00
Domestic Cat,33.902027,-118.179798,2013-05-26 15:08:27-07:00
Domestic Cat,33.838379,-118.244114,2013-05-30 08:14:50-07:00
Domestic Cat,33.838045,-118.243685,2013-05-30 08:17:05-07:00
Domestic Cat,33.857163,-118.271685,2013-05-30 11:16:58-07:00
Domestic Cat,33.926155,-118.250083,2013-05-30 16:47:29-07:00
Bobcat,36.4911666667,-121.1495,2013-06-01 11:10:30-07:00
Domestic Cat,43.8533333333,-72.589,2013-06-03 06:08:19-04:00
Mountain Lion,34.1031508082,-118.2346835228,2013-03-02 22:46:00-08:00
Bobcat,34.0990831377,-118.3555720663,2012-01-01 14:36:00-08:00
Ocelot,16.73643,-88.99187,2013-05-20 23:37:00-06:00
Domestic Cat,33.780668,-118.28881,2013-06-06 14:35:46-07:00
Bobcat,34.232802,-118.296455,2012-11-10 04:55:00-08:00
Mountain Lion,34.3334114481,-118.3329953282,2012-11-21 21:53:00-08:00
Bobcat,34.2171757901,-118.205416883,2012-12-01 15:40:00-08:00
Domestic Cat,34.016936,-118.287802,2013-05-15 05:55:00-07:00
Mountain Lion,29.133628,-103.522254,2012-11-10 13:49:53-06:00
Bobcat,30.216559,-97.649863,2012-12-06 10:25:54-06:00
Mountain Lion,29.1671944444,-103.6140055556,2011-11-12 17:01:56-06:00
Domestic Cat,34.000134,-118.296191,2013-06-13 11:29:06-07:00
Bobcat,34.1991563932,-118.3032052552,2011-08-17 22:48:00-07:00
Bobcat,34.1483136394,-118.2170800849,2011-10-04 20:36:00-07:00
Ocelot,-12.5693972222,-70.0996638889,2008-02-12 11:34:59-05:00
Mountain Lion,29.336,-103.1760027778,2010-12-01 13:18:27-06:00
Bobcat,30.235396,-97.642825,2013-06-18 09:48:25-05:00
Bobcat,26.126264,-97.952632,2013-01-17 12:12:50-06:00
Mountain Lion,34.0764616657,-118.2275391858,2013-04-02 00:19:00-07:00
Domestic Cat,33.919914,-118.123597,2013-06-25 14:20:30-07:00
Bobcat,39.5062682,-117.0692012833,2013-06-29 18:24:54-07:00
Domestic Cat,33.74625,-118.296764,2013-06-30 16:56:57-07:00
Domestic Cat,37.71268,-122.424504,2013-06-08 14:13:00-07:00
Bobcat,37.830911,-122.509035,2013-07-01 16:19:18-07:00
Bobcat,34.060353448,-118.2965459864,2013-06-13 04:21:00-07:00
Domestic Cat,29.291985,-94.794445,2013-06-27 21:45:41-05:00
Mountain Lion,33.098064,-116.4721,2009-04-25 15:51:13-07:00
Bobcat,37.876762,-122.010736,2013-07-21 17:40:17-07:00
Domestic Cat,34.061775,-118.258328,2013-06-02 06:03:00-07:00
North American Mountain Lion,29.1829012647,-103.573080225,2013-02-09 22:23:56-06:00
Bobcat,26.435629,-82.119752,2013-07-28 17:16:51-04:00
Domestic Cat,37.415436,-122.007251,2013-07-17 19:55:44-07:00
Mountain Lion,41.907334097,-110.2911421195,2013-07-22 20:06:14-06:00
Bobcat,32.84431,-93.915777,2013-07-23 05:06:00-05:00
Bobcat,35.124177,-106.378791,2013-08-05 12:06:47-06:00
Bobcat,32.07354296,-110.71420434,2013-08-08 06:58:14-07:00
Bobcat,29.166967,-103.612403,2013-02-09 11:25:59-06:00
Bobcat,34.061564169,-118.2240285336,2013-07-17 04:30:00-07:00
Bobcat,30.1794694444,-97.5351722222,2013-05-26 10:12:00-05:00
Mountain Lion,33.5361666667,-116.4618333333,2013-08-15 07:54:23-07:00
Bobcat,32.671794,-94.752166,2013-08-09 12:28:26-05:00
Bobcat,31.84811352,-110.57684816,2013-08-16 07:25:43-07:00
African Leopard,-18.5229709469,23.7402657522,2007-09-28 10:14:34+02:00
Southern Lion,-18.4214378929,23.6413300195,2007-09-28 09:36:11+02:00
African Leopard,-18.4032642924,23.7559965792,2007-09-28 10:08:27+02:00
Southern Lion,-18.451157092,23.6547775532,2007-09-28 08:50:37+02:00
Southern Lion,-19.2145528116,22.6153532251,2007-09-26 11:14:53+02:00
Bobcat,26.4955,-97.526,2013-08-18 09:09:08-05:00
Domestic Cat,36.002277,-78.941966,2013-08-25 10:54:09-04:00
Bobcat,25.954806,-97.149628,2012-04-14 08:04:55-05:00
Domestic Cat,30.3575779125,-103.6597708427,2013-08-28 09:13:47-05:00
Bobcat,32.07038786,-110.71545186,2013-08-28 07:07:33-07:00
